201.157.39.123 - - [15/Jul/2016:03:25:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:42 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:44 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:46 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:49 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:52 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:54 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:56 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:25:59 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:01 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:04 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:07 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:10 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:13 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:14 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:15 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:15 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:16 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:16 +0000] "GET /manager/html HTTP/1.1" 401 2474
201.157.39.123 - - [15/Jul/2016:03:26:17 +0000] "GET /manager/html HTTP/1.1" 401 2474
69.89.14.35 - - [15/Jul/2016:03:46:57 +0000] "GET / HTTP/1.1" 200 11197
69.89.14.35 - - [15/Jul/2016:03:47:17 +0000] "GET / HTTP/1.1" 200 11197
45.55.233.213 - - [15/Jul/2016:04:24:39 +0000] "GET / HTTP/1.1" 200 11197
45.55.250.43 - - [15/Jul/2016:04:42:45 +0000] "GET / HTTP/1.1" 200 11197
45.55.238.103 - - [15/Jul/2016:04:45:34 +0000] "GET / HTTP/1.1" 200 11197
203.189.234.160 - - [15/Jul/2016:06:32:57 +0000] "GET /phpmyadmin HTTP/1.1" 404 971
66.249.66.129 - - [15/Jul/2016:06:57:12 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.66.186 - - [15/Jul/2016:06:57:12 +0000] "GET / HTTP/1.1" 200 11197
66.249.66.186 - - [15/Jul/2016:06:59:03 +0000] "GET /manager/html HTTP/1.1" 401 2474
66.249.66.129 - - [15/Jul/2016:06:59:05 +0000] "GET /docs/ HTTP/1.1" 404 961
66.249.66.186 - - [15/Jul/2016:06:59:15 +0000] "GET /examples/ HTTP/1.1" 404 969
66.249.66.186 - - [15/Jul/2016:06:59:35 +0000] "GET /manager/status HTTP/1.1" 401 2474
66.249.66.186 - - [15/Jul/2016:06:59:55 +0000] "GET /docs/setup.html HTTP/1.1" 404 981
66.249.66.186 - - [15/Jul/2016:07:00:14 +0000] "GET /host-manager/html HTTP/1.1" 401 2045
66.249.66.186 - - [15/Jul/2016:07:00:34 +0000] "GET /docs/changelog.html HTTP/1.1" 404 989
66.249.66.186 - - [15/Jul/2016:07:00:53 +0000] "GET /docs/realm-howto.html HTTP/1.1" 404 993
66.249.66.186 - - [15/Jul/2016:07:01:13 +0000] "GET /docs/RELEASE-NOTES.txt HTTP/1.1" 404 995
66.249.66.186 - - [15/Jul/2016:07:01:32 +0000] "GET /docs/manager-howto.html HTTP/1.1" 404 997
66.249.66.186 - - [15/Jul/2016:07:01:51 +0000] "GET /docs/cluster-howto.html HTTP/1.1" 404 997
66.249.66.186 - - [15/Jul/2016:07:02:11 +0000] "GET /docs/security-howto.html HTTP/1.1" 404 999
66.249.66.186 - - [15/Jul/2016:07:02:31 +0000] "GET /docs/deployer-howto.html HTTP/1.1" 404 999
66.249.66.176 - - [15/Jul/2016:08:23:42 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.66.179 - - [15/Jul/2016:08:23:43 +0000] "GET / HTTP/1.1" 200 11197
66.249.66.176 - - [15/Jul/2016:08:23:50 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.66.167 - - [15/Jul/2016:08:45:22 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.66.167 - - [15/Jul/2016:08:45:22 +0000] "GET / HTTP/1.1" 200 11197
66.249.66.159 - - [15/Jul/2016:08:45:32 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.66.163 - - [15/Jul/2016:08:48:43 +0000] "GET /docs/ HTTP/1.1" 404 961
