INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:98)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:408)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:193)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:607)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:313)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2017/04/16 19:19:21 | Caused by: java.net.SocketException: Broken pipe
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.net.SocketOutputStream.socketWrite0(Native Method)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.net.SocketOutputStream.socketWrite(SocketOutputStream.java:113)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.net.SocketOutputStream.write(SocketOutputStream.java:159)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:82)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.io.BufferedOutputStream.flush(BufferedOutputStream.java:140)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.MysqlIO.send(MysqlIO.java:3832)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	... 34 more
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:19:21 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:19:21 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:19:21 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:19:21 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:19:21 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:19:21 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:19:21 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:19:47 | 23
INFO   | jvm 1    | 2017/04/16 19:19:47 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:19:47 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:19:47 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:19:47 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:19:47 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:19:49 | 23
INFO   | jvm 1    | 2017/04/16 19:19:49 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:19:49 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:19:49 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:19:49 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:19:49 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:21:24 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:21:24 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:21:24 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:21:24 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:21:24 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:21:24 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:38:08 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:38:08 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/17 00:24:16 | 23
INFO   | jvm 1    | 2017/04/17 00:24:16 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/17 00:24:16 | Error while closing
INFO   | jvm 1    | 2017/04/17 00:24:16 | Remove connection from pool
INFO   | jvm 1    | 2017/04/17 00:24:16 | New connection added in pool
INFO   | jvm 1    | 2017/04/17 00:24:16 | java.lang.NullPointerException
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at com.inbasket.login.SubmitServlet.doGet(SubmitServlet.java:52)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:620)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:727)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:303)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at com.inbasket.filter.NoCacheFilter.doFilter(NoCacheFilter.java:40)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)
INFO   | jvm 1    | 2017/04/17 00:24:16 | 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:501)
